date,areaName,newCasesByPublishDate,cumCasesByPublishDate,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDateRate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDateRate
2020-01-05,South East,0,,0,,,,,
2020-01-06,South East,0,,0,,,,,
2020-01-07,South East,0,,0,,,,,
2020-01-08,South East,0,,0,,,,,
2020-01-09,South East,0,,0,,,,,
2020-01-10,South East,0,,0,,,,,
2020-01-11,South East,0,,0,,,,,
2020-01-12,South East,0,,0,,,,,
2020-01-13,South East,0,,0,,,,,
2020-01-14,South East,0,,0,,,,,
2020-01-15,South East,0,,0,,,,,
2020-01-16,South East,0,,0,,,,,
2020-01-17,South East,0,,0,,,,,
2020-01-18,South East,0,,0,,,,,
2020-01-19,South East,0,,0,,,,,
2020-01-20,South East,0,,0,,,,,
2020-01-21,South East,0,,0,,,,,
2020-01-22,South East,0,,0,,,,,
2020-01-23,South East,0,,0,,,,,
2020-01-24,South East,0,,0,,,,,
2020-01-25,South East,0,,0,,,,,
2020-01-26,South East,0,,0,,,,,
2020-01-27,South East,0,,0,,,,,
2020-01-28,South East,0,,0,,,,,
2020-01-29,South East,0,,0,,,,,
2020-01-30,South East,0,,0,,,,,
2020-01-31,South East,0,,0,,,,,
2020-02-01,South East,0,,0,,,,,
2020-02-02,South East,0,,0,,,,,
2020-02-03,South East,0,,0,,,,,
2020-02-04,South East,0,,0,,,,,
2020-02-05,South East,0,,0,,,,,
2020-02-06,South East,0,,0,,,,,
2020-02-07,South East,0,,0,,,,,
2020-02-08,South East,0,,0,,,,,
2020-02-09,South East,0,,0,,,,,
2020-02-10,South East,0,,0,,,,,
2020-02-11,South East,0,,0,,,,,
2020-02-12,South East,0,,0,,,,,
2020-02-13,South East,0,,0,,,,,
2020-02-14,South East,0,,0,,,,,
2020-02-15,South East,0,,0,,,,,
2020-02-16,South East,0,,0,,,,,
2020-02-17,South East,0,,0,,,,,
2020-02-18,South East,0,,0,,,,,
2020-02-19,South East,0,,0,,,,,
2020-02-20,South East,0,,0,,,,,
2020-02-21,South East,0,,0,,,,,
2020-02-22,South East,0,,0,,,,,
2020-02-23,South East,0,,0,,,,,
2020-02-24,South East,0,,0,,,,,
2020-02-25,South East,0,,0,,,,,
2020-02-26,South East,0,,0,,,,,
2020-02-27,South East,0,,0,,,,,
2020-02-28,South East,0,,0,,,,,
2020-02-29,South East,0,,0,,,,,
2020-03-01,South East,0,,0,,,,,
